size,128,256,512,1024,2048
4096.000000,6.669200,6.893782,7.029365,7.227687,7.061683
8192.000000,13.498551,13.477203,13.472982,7.809056,12.982894
16384.000000,23.278850,23.533534,23.862402,24.218487,23.384504
32768.000000,42.020513,42.261381,42.078126,41.669368,42.473540
65536.000000,67.686941,69.761557,69.848590,69.834714,69.433068
131072.000000,103.540185,103.568749,104.316822,105.030984,95.920038
262144.000000,140.079683,140.603827,143.291927,142.794886,129.299093
524288.000000,147.680667,148.375194,150.823792,160.315212,159.082100
1048576.000000,182.014438,176.502180,179.789785,181.788810,179.849392
2097152.000000,193.315963,191.507651,193.276920,192.132844,192.720295
4194304.000000,202.916894,199.867253,201.049767,202.694858,199.539814
8388608.000000,206.775551,205.504413,206.785577,206.025709,205.417147
16777216.000000,207.986353,207.606180,208.036351,207.401485,206.586627
33554432.000000,209.594122,208.682561,209.355257,208.654754,208.059840
67108864.000000,210.718458,209.014468,210.132734,209.285540,208.375941
134217728.000000,211.982163,210.056541,210.356869,209.573738,208.900801
